Designator,Mid X,Mid Y,Layer,Rotation
C1,33.91,27.53,Top,180
C2,39.5,27.43,Top,0
C6,33.91,33.68,Top,180
C7,39.5,33.6,Top,0
C8,7.24,21.46,Top,180
C9,33.91,18.19,Top,180
C10,39.62,18.19,Top,0
IC1,36.7,14.88,Top,180
IC2,36.7,37.21,Top,0
IC3,11.18,28.19,Top,90
IC4,36.7,24.26,Top,180
R1,3.81,26.29,Top,0
R2,3.81,30.1,Top,0
R3,3.81,19.18,Top,0
R4,3.81,17.02,Top,0
R5,30.48,24.89,Top,0
R6,30.48,22.83,Top,0
R7,30.68,16.08,Top,0
R8,30.68,14.02,Top,0
R9,12.17,35.69,Top,90
R10,14.27,35.69,Top,90
R11,7.98,35.69,Top,90
R12,10.06,35.69,Top,90
