Designator,Mid X,Mid Y,Layer,Rotation
C1,24.51,15.21,Top,180
C2,29.21,15.24,Top,0
C6,23.55,42.32,Top,180
C7,27.66,42.32,Top,0
C8,8,18.92,Top,180
C9,24.38,9.04,Top,180
C10,29.08,8.92,Top,0
IC1,26.8,6.63,Top,180
IC2,25.53,44.7,Top,0
IC3,11.18,25.65,Top,90
IC4,26.8,12.57,Top,180
R1,5.33,24.13,Top,0
R2,5.23,26.36,Top,0
R3,8,17.65,Top,0
R4,8,16.51,Top,0
R5,17.53,24.94,Top,0
R6,17.53,23.88,Top,0
R7,17.5,21.54,Top,0
R8,17.5,20.45,Top,0
R9,12.17,33.15,Top,90
R10,14.27,33.15,Top,90
R11,7.98,33.15,Top,90
R12,10.06,33.15,Top,90
